x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.614,0.048,0.0969,0.0747000919854,[[-0.61987238]],[[ 0.04680181]],[[ 0.08592529]],[[ 0.05378918]],[[ 0.02373018]],[[ 0.09484435]],[[ 0.07250418]],[[ 0.13513171]],[[ 5.59486562]],[[ 1.1135414]],[[-0.07250418]],[[ 70.67698468]],[[ 0.61485345]],[[-0.09158283]],[[ 0.31407471]]
-0.614,0.048,0.0969,0.0747000919854,[[-0.61781582]],[[ 0.04731267]],[[ 0.0897281]],[[ 0.05666085]],[[ 0.02424745]],[[ 0.10024172]],[[ 0.07395617]],[[ 0.13534733]],[[ 5.54333553]],[[ 1.12827558]],[[-0.07395617]],[[ 70.20078371]],[[ 0.61263114]],[[-0.09283299]],[[ 0.3102719]]
-0.614,0.048,0.0969,0.0747000919854,[[-0.6163251]],[[ 0.04768167]],[[ 0.09248519]],[[ 0.05837665]],[[ 0.02448236]],[[ 0.10349961]],[[ 0.07523734]],[[ 0.13519559]],[[ 5.50945706]],[[ 1.13898844]],[[-0.07523734]],[[ 69.89026117]],[[ 0.61099746]],[[-0.0938737]],[[ 0.30751481]]
-0.5826,0.0466,0.1569,0.0579449311662,[[-0.60632438]],[[ 0.04754957]],[[ 0.11152925]],[[ 0.07555051]],[[ 0.02379498]],[[ 0.13634307]],[[ 0.07438833]],[[ 0.13066746]],[[ 5.24003691]],[[ 1.10594222]],[[-0.07438833]],[[ 67.19735474]],[[ 0.6011137]],[[-0.09247994]],[[ 0.28847075]]
-0.5826,0.0466,0.1569,0.0579449311662,[[-0.59904827]],[[ 0.0474504]],[[ 0.12538586]],[[ 0.08723495]],[[ 0.02319088]],[[ 0.15872992]],[[ 0.07360908]],[[ 0.12645921]],[[ 5.05232227]],[[ 1.08090078]],[[-0.07360908]],[[ 65.31802107]],[[ 0.59393647]],[[-0.09137749]],[[ 0.27461414]]
-0.5826,0.0466,0.1569,0.0579449311662,[[-0.59375794]],[[ 0.04737532]],[[ 0.13546166]],[[ 0.09501614]],[[ 0.02265019]],[[ 0.17368034]],[[ 0.07289292]],[[ 0.12253921]],[[ 4.92317539]],[[ 1.06162118]],[[-0.07289292]],[[ 64.02185921]],[[ 0.58873094]],[[-0.09049195]],[[ 0.26453834]]
-0.5826,0.0466,0.1569,0.0579449311662,[[-0.58991486]],[[ 0.0473179]],[[ 0.14278195]],[[ 0.10002567]],[[ 0.02215854]],[[ 0.18334897]],[[ 0.07223386]],[[ 0.11887952]],[[ 4.83597503]],[[ 1.0465109]],[[-0.07223386]],[[ 63.14340696]],[[ 0.58496154]],[[-0.08976929]],[[ 0.25721805]]
-0.5826,0.0466,0.1569,0.0579449311662,[[-0.58712647]],[[ 0.04727345]],[[ 0.14809411]],[[ 0.10307095]],[[ 0.02170546]],[[ 0.18927332]],[[ 0.07162652]],[[ 0.11545542]],[[ 4.77877869]],[[ 1.0344362]],[[-0.07162652]],[[ 62.56380844]],[[ 0.58223789]],[[-0.08917011]],[[ 0.25190589]]
-0.5826,0.0466,0.1569,0.0579449311662,[[-0.58510663]],[[ 0.04723853]],[[ 0.15194294]],[[ 0.10472816]],[[ 0.02128331]],[[ 0.19255059]],[[ 0.07106607]],[[ 0.11224499]],[[ 4.74300452]],[[ 1.02458767]],[[-0.07106607]],[[ 62.19767177]],[[ 0.58027551]],[[-0.08866553]],[[ 0.24805706]]
-0.5653,0.0723,0.1485,0.059515727493,[[-0.57875535]],[[ 0.05447704]],[[ 0.15235058]],[[ 0.11347278]],[[ 0.03286644]],[[ 0.1900481]],[[ 0.07072906]],[[ 0.1095614]],[[ 4.57946668]],[[ 1.2000667]],[[-0.07072906]],[[ 62.30992172]],[[ 0.57345841]],[[-0.09524153]],[[ 0.24764942]]
