x,y,z,yaw,vzcam,xk,yk,zk,rollk,pitchk,yawk,vxk,vyk,vzk,vrollk,vpitchk,vyawk,pitch_con,roll_con,yaw_con,thrust_cam,xd,yd,zd,rolld,pitchd,yawd
-0.0373,-0.0074,0.0581,0.00715584993318,0.199999720614,[[-0.03304394]],[[-0.00242343]],[[ 0.04648728]],[[ 2.4516968]],[[ 5.54333896]],[[ 0.02657381]],[[-0.01520644]],[[-0.00260779]],[[ 0.02850932]],[[ 6.04921904]],[[ 12.90385349]],[[-0.1018235]],[[ 0.95119879]],[[-0.05592293]],[[ 0.81219532]],[[ 69.85745341]],[[ 0.03309666]],[[ 0.00154458]],[[ 0.35351272]],2.43840265274,5.44010400772,-161.741714478
-0.0373,-0.0074,0.0581,0.00715584993318,0.199999720614,[[-0.03386794]],[[-0.00326004]],[[ 0.04862701]],[[ 2.46590488]],[[ 5.52667883]],[[ 0.02354945]],[[-0.01914789]],[[-0.0073622]],[[ 0.03938828]],[[ 5.93873096]],[[ 12.55604586]],[[-0.11106396]],[[ 1.01142814]],[[-0.17696068]],[[ 0.73017394]],[[ 69.80305862]],[[ 0.03393531]],[[ 0.00246164]],[[ 0.35137299]],2.43840265274,5.44010400772,-161.741714478
-0.0373,-0.0074,0.0581,0.00715584993318,0.199999720614,[[-0.03458755]],[[-0.00399638]],[[ 0.05050057]],[[ 2.8624076]],[[ 5.04132974]],[[ 0.02080668]],[[-0.02223443]],[[-0.01123524]],[[ 0.04803579]],[[ 6.72784157]],[[ 11.12604532]],[[-0.11844876]],[[ 1.06257225]],[[-0.27797347]],[[ 0.65529198]],[[ 69.75982104]],[[ 0.03466321]],[[ 0.00327591]],[[ 0.34949943]],3.06287956238,4.67804098129,-162.47668457
-0.0373,-0.0074,0.0581,0.00715584993318,0.199999720614,[[-0.03521413]],[[-0.00464301]],[[ 0.05213659]],[[ 3.10569603]],[[ 4.69082677]],[[ 0.01831712]],[[-0.02458969]],[[-0.01434829]],[[ 0.05476937]],[[ 7.1320498]],[[ 10.06560241]],[[-0.12425668]],[[ 1.10501634]],[[-0.36104484]],[[ 0.58687509]],[[ 69.72615316]],[[ 0.03529326]],[[ 0.00399725]],[[ 0.34786341]],3.21044158936,4.41602611542,-162.628387451
-0.0445,-0.0094,0.0794,-0.0342084533391,0.532500507832,[[-0.03692255]],[[-0.00553289]],[[ 0.05700648]],[[ 3.19796566]],[[ 4.55616555]],[[ 0.01180742]],[[-0.0330905]],[[-0.01868663]],[[ 0.0798917]],[[ 7.17927413]],[[ 9.53514142]],[[-0.14733921]],[[ 1.24804102]],[[-0.48013654]],[[ 0.4119273]],[[ 69.6005415]],[[ 0.0369853]],[[ 0.00509655]],[[ 0.34299352]],3.21044158936,4.41602611542,-162.628387451
-0.0445,-0.0094,0.0794,-0.0342084533391,0.532500507832,[[-0.03842245]],[[-0.00631344]],[[ 0.06128898]],[[ 3.23259104]],[[ 4.50396058]],[[ 0.00584219]],[[-0.03987192]],[[-0.02213066]],[[ 0.10010024]],[[ 7.0969915]],[[ 9.20847508]],[[-0.16674684]],[[ 1.40907294]],[[-0.57981929]],[[ 0.25073991]],[[ 69.49949878]],[[ 0.03845868]],[[ 0.00608887]],[[ 0.33871102]],3.21044158936,4.41602611542,-162.628387451
-0.0445,-0.0094,0.0794,-0.0342084533391,0.532500507832,[[-0.03973502]],[[-0.00699583]],[[ 0.06504335]],[[ 3.51477451]],[[ 3.79310647]],[[ 0.00037124]],[[-0.04516501]],[[-0.02480128]],[[ 0.11604803]],[[ 7.5564237]],[[ 7.46192063]],[[-0.18296731]],[[ 1.59981211]],[[-0.66146815]],[[ 0.10211901]],[[ 69.41975986]],[[ 0.03973761]],[[ 0.00698108]],[[ 0.33495665]],3.6407263279,3.31429433823,-163.297332764
-0.0445,-0.0094,0.0794,-0.0342084533391,0.532500507832,[[-0.04087933]],[[-0.0075901]],[[ 0.06832298]],[[ 3.74280694]],[[ 3.12898531]],[[-0.00464982]],[[-0.04917212]],[[-0.02680436]],[[ 0.12830735]],[[ 7.88243378]],[[ 5.88233348]],[[-0.19641577]],[[ 1.74564921]],[[-0.72655045]],[[-0.03499959]],[[ 69.35846327]],[[ 0.0408436]],[[ 0.00778009]],[[ 0.33167702]],3.83378386497,2.68818306923,-163.671432495
-0.0493,-0.0158,0.0805,-0.0502654824574,0.0207547274379,[[-0.04264212]],[[-0.00913128]],[[ 0.07135243]],[[ 3.85938874]],[[ 2.73465451]],[[-0.01080024]],[[-0.05651833]],[[-0.03416254]],[[ 0.13840065]],[[ 7.9618297]],[[ 4.92944649]],[[-0.21386548]],[[ 2.00968168]],[[-0.94854104]],[[-0.20247149]],[[ 69.30799677]],[[ 0.04254102]],[[ 0.00959128]],[[ 0.32864757]],3.88193178177,2.4640994072,-163.828582764
-0.0493,-0.0158,0.0805,-0.0502654824574,0.0207547274379,[[-0.04418258]],[[-0.0104857]],[[ 0.07397917]],[[ 3.92074178]],[[ 2.41767002]],[[-0.0164645]],[[-0.06215088]],[[-0.04001179]],[[ 0.14557788]],[[ 7.92404208]],[[ 4.17167928]],[[-0.22841669]],[[ 2.21241504]],[[-1.13375966]],[[-0.3574647]],[[ 69.27211061]],[[ 0.04400396]],[[ 0.01121169]],[[ 0.32602083]],3.9098303318,2.19885921478,-164.065353394
