x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2251,-0.1346,0.2214,-0.177674517853,1.73529009396,[[-0.2418269]],[[-0.1274308]],[[ 0.16833321]],[[ 0.09884291]],[[-0.05519392]],[[ 0.48281536]],[[-0.17675296]],[[-0.08455541]],[[ 1.0864462]],[[-2.04920848]],0,60,[[ 0.21565251]],[[ 0.16796681]],[[ 0.23166679]]
-0.2251,-0.1346,0.2214,-0.177674517853,1.73529009396,[[-0.23636226]],[[-0.12986477]],[[ 0.18083507]],[[ 0.10715385]],[[-0.05868826]],[[ 0.527057]],[[-0.17760753]],[[-0.08457433]],[[ 0.93863209]],[[-2.08414866]],0,60,[[ 0.20970021]],[[ 0.16958125]],[[ 0.21916493]]
-0.2251,-0.1346,0.2214,-0.177674517853,1.73529009396,[[-0.23239508]],[[-0.13163038]],[[ 0.1917198]],[[ 0.11243469]],[[-0.06083794]],[[ 0.55942542]],[[-0.17836134]],[[-0.08438519]],[[ 0.83910126]],[[-2.10697984]],0,60,[[ 0.20535482]],[[ 0.17077304]],[[ 0.2082802]]
-0.2251,-0.1346,0.2214,-0.177674517853,1.73529009396,[[-0.22951893]],[[-0.13290909]],[[ 0.20114513]],[[ 0.11557379]],[[-0.06203912]],[[ 0.58151394]],[[-0.17902531]],[[-0.08402229]],[[ 0.77409507]],[[-2.12122766]],0,60,[[ 0.2021835]],[[ 0.17165546]],[[ 0.19885487]]
-0.2251,-0.1346,0.2214,-0.177674517853,1.73529009396,[[-0.22743762]],[[-0.13383313]],[[ 0.20925693]],[[ 0.11720397]],[[-0.06257391]],[[ 0.59475595]],[[-0.17960917]],[[-0.08351494]],[[ 0.73373241]],[[-2.12940247]],0,60,[[ 0.19987034]],[[ 0.17231083]],[[ 0.19074307]]
-0.2148,-0.1575,0.2224,-0.163362817987,0.0178571446818,[[-0.22301619]],[[-0.14098881]],[[ 0.21634892]],[[ 0.12283076]],[[-0.07388147]],[[ 0.60135454]],[[-0.17845406]],[[-0.07964977]],[[ 0.60453135]],[[-2.2924174]],0,60,[[ 0.19444784]],[[ 0.17833705]],[[ 0.18365108]]
-0.2148,-0.1575,0.2224,-0.163362817987,0.0178571446818,[[-0.2198091]],[[-0.14619395]],[[ 0.22236843]],[[ 0.12620074]],[[-0.08148786]],[[ 0.60138897]],[[-0.17740684]],[[-0.07613496]],[[ 0.51958378]],[[-2.40628048]],0,60,[[ 0.19055914]],[[ 0.18269079]],[[ 0.17763157]]
-0.2148,-0.1575,0.2224,-0.163362817987,0.0178571446818,[[-0.21748684]],[[-0.14997733]],[[ 0.22743089]],[[ 0.12797709]],[[-0.08646133]],[[ 0.59590295]],[[-0.17645674]],[[-0.07293119]],[[ 0.4661481]],[[-2.48479968]],0,60,[[ 0.18778229]],[[ 0.18582664]],[[ 0.17256911]]
-0.2148,-0.1575,0.2224,-0.163362817987,0.0178571446818,[[-0.21580924]],[[-0.15272444]],[[ 0.23164209]],[[ 0.12863299]],[[-0.08956496]],[[ 0.58582476]],[[-0.17559411]],[[-0.07000398]],[[ 0.43509433]],[[-2.53792789]],0,60,[[ 0.18581081]],[[ 0.18807638]],[[ 0.16835791]]
-0.2148,-0.1575,0.2224,-0.163362817987,0.0178571446818,[[-0.21460119]],[[-0.15471629]],[[ 0.23509881]],[[ 0.12850594]],[[-0.09134391]],[[ 0.57197712]],[[-0.17481028]],[[-0.06732306]],[[ 0.41988008]],[[-2.57283927]],0,60,[[ 0.18442212]],[[ 0.18968206]],[[ 0.16490119]]
-0.2148,-0.1575,0.2224,-0.163362817987,0.0178571446818,[[-0.21373508]],[[-0.15615777]],[[ 0.23788934]],[[ 0.12783655]],[[-0.09218761]],[[ 0.55508646]],[[-0.1740975]],[[-0.06486186]],[[ 0.41581794]],[[-2.59470491]],0,60,[[ 0.18345456]],[[ 0.19082022]],[[ 0.16211066]]
-0.1786,-0.1887,0.275,-0.426209403337,0.78507565494,[[-0.2029044]],[[-0.16600099]],[[ 0.24845937]],[[ 0.14286768]],[[-0.10622587]],[[ 0.58402829]],[[-0.20340486]],[[-0.11489466]],[[ 0.03807797]],[[-2.78742489]],0,60,[[ 0.16518836]],[[ 0.20356653]],[[ 0.15154063]]
-0.1786,-0.1887,0.275,-0.426209403337,0.78507565494,[[-0.19502585]],[[-0.17316379]],[[ 0.25759175]],[[ 0.15286543]],[[-0.11568213]],[[ 0.60301155]],[[-0.22973372]],[[-0.1581254]],[[-0.24722737]],[[-2.9085779]],0,60,[[ 0.1504694]],[[ 0.21302521]],[[ 0.14240825]]
-0.1786,-0.1887,0.275,-0.426209403337,0.78507565494,[[-0.18929959]],[[-0.17837231]],[[ 0.2654314]],[[ 0.15927643]],[[-0.1218703]],[[ 0.6134459]],[[-0.25338567]],[[-0.19540019]],[[-0.46201209]],[[-2.98181934]],0,60,[[ 0.13854021]],[[ 0.22013093]],[[ 0.1345686]]
-0.1786,-0.1887,0.275,-0.426209403337,0.78507565494,[[-0.18514238]],[[-0.18215607]],[[ 0.27211201]],[[ 0.16313648]],[[-0.12573126]],[[ 0.61659519]],[[-0.27463131]],[[-0.22745882]],[[-0.6231538]],[[-3.02317162]],0,60,[[ 0.12880493]],[[ 0.22553897]],[[ 0.12788799]]
