x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.0898,0.0096,0.1376,0.056897733615,[[-0.08616581]],[[ 0.01007259]],[[ 0.06731897]],[[-0.00246742]],[[ 0.00656151]],[[ 0.16119411]],[[ 0.]],[[ 0.]],[[ 0.88633226]],[[ 0.16634098]],[[-0.]],80,[[ 0.08616581]],[[-0.01007259]],[[ 0.33268103]]
-0.0898,0.0096,0.1376,0.056897733615,[[-0.08721343]],[[ 0.00998567]],[[ 0.07985253]],[[-0.00423881]],[[ 0.00629739]],[[ 0.22416668]],[[ 0.]],[[ 0.]],[[ 0.91452242]],[[ 0.16283061]],[[-0.]],[[ 79.88654017]],[[ 0.08721343]],[[-0.00998567]],[[ 0.32014747]]
-0.0898,0.0096,0.1376,0.056897733615,[[-0.08797627]],[[ 0.0099216]],[[ 0.09092204]],[[-0.00546577]],[[ 0.00608102]],[[ 0.27506768]],[[ 0.]],[[ 0.]],[[ 0.93442032]],[[ 0.16002625]],[[-0.]],[[ 79.0785597]],[[ 0.08797627]],[[-0.0099216]],[[ 0.30907796]]
-0.0898,0.0096,0.1376,0.056897733615,[[-0.08853149]],[[ 0.00987421]],[[ 0.10065895]],[[-0.00630442]],[[ 0.00589974]],[[ 0.31535069]],[[ 0.]],[[ 0.]],[[ 0.94835907]],[[ 0.15773944]],[[-0.]],[[ 78.39029881]],[[ 0.08853149]],[[-0.00987421]],[[ 0.29934105]]
-0.0898,0.0096,0.1376,0.056897733615,[[-0.08893537]],[[ 0.00983899]],[[ 0.109186]],[[-0.00686634]],[[ 0.00574441]],[[ 0.3463352]],[[ 0.]],[[ 0.]],[[ 0.95801709]],[[ 0.15583409]],[[-0.]],[[ 77.80902378]],[[ 0.08893537]],[[-0.00983899]],[[ 0.290814]]
-0.0898,0.0096,0.1376,0.056897733615,[[-0.08922892]],[[ 0.00981269]],[[ 0.11661746]],[[-0.0072313]],[[ 0.0056085]],[[ 0.36921598]],[[ 0.]],[[ 0.]],[[ 0.96460215]],[[ 0.15421182]],[[-0.]],[[ 77.32304734]],[[ 0.08922892]],[[-0.00981269]],[[ 0.28338254]]
-0.0971,0.0137,0.1676,0.056897733615,[[-0.09150308]],[[ 0.01095045]],[[ 0.12783054]],[[-0.01074941]],[[ 0.00733681]],[[ 0.41258337]],[[ 0.]],[[ 0.]],[[ 1.02252484]],[[ 0.18287257]],[[-0.]],[[ 76.54555618]],[[ 0.09150308]],[[-0.01095045]],[[ 0.27216946]]
-0.0971,0.0137,0.1676,0.056897733615,[[-0.09315935]],[[ 0.01177888]],[[ 0.13762501]],[[-0.01318651]],[[ 0.00852493]],[[ 0.44527027]],[[ 0.]],[[ 0.]],[[ 1.06345866]],[[ 0.20303806]],[[-0.]],[[ 75.89239812]],[[ 0.09315935]],[[-0.01177888]],[[ 0.26237499]]
-0.0971,0.0137,0.1676,0.056897733615,[[-0.09436512]],[[ 0.01238175]],[[ 0.14613668]],[[-0.01485112]],[[ 0.00932729]],[[ 0.4686755]],[[ 0.]],[[ 0.]],[[ 1.0921624]],[[ 0.21709047]],[[-0.]],[[ 75.34978859]],[[ 0.09436512]],[[-0.01238175]],[[ 0.25386332]]
-0.0971,0.0137,0.1676,0.056897733615,[[-0.09524239]],[[ 0.01282019]],[[ 0.15349151]],[[-0.01596417]],[[ 0.00985446]],[[ 0.48406049]],[[ 0.]],[[ 0.]],[[ 1.11206563]],[[ 0.22674649]],[[-0.]],[[ 74.90512204]],[[ 0.09524239]],[[-0.01282019]],[[ 0.24650849]]
-0.0971,0.0137,0.1676,0.056897733615,[[-0.09588018]],[[ 0.01313874]],[[ 0.15980604]],[[-0.01668387]],[[ 0.01018561]],[[ 0.49255965]],[[ 0.]],[[ 0.]],[[ 1.12564051]],[[ 0.23324345]],[[-0.]],[[ 74.54689974]],[[ 0.09588018]],[[-0.01313874]],[[ 0.24019396]]
-0.0999,0.0135,0.1985,0.0780162175641,[[-0.09713135]],[[ 0.0133136]],[[ 0.17010201]],[[-0.01829279]],[[ 0.01029393]],[[ 0.52352713]],[[ 0.]],[[ 0.]],[[ 1.15424142]],[[ 0.23607528]],[[-0.]],[[ 73.8772637]],[[ 0.09713135]],[[-0.0133136]],[[ 0.22989799]]
