x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25438021]],[[ 0.01117397]],[[ 0.06880171]],[[ 0.0032132]],[[-0.00579639]],[[ 0.1349449]],[[ 0.02134607]],[[ 0.0449307]],[[ 2.50995003]],[[ 0.10737377]],0,[[ 67.11377159]],[[ 0.25408375]],[[-0.01660103]],[[ 0.33119829]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25419172]],[[ 0.01076911]],[[ 0.07219586]],[[ 0.00352019]],[[-0.0064775]],[[ 0.14673263]],[[ 0.02272287]],[[ 0.04700212]],[[ 2.50509314]],[[ 0.0998599]],0,[[ 66.11892278]],[[ 0.25388142]],[[-0.0165418]],[[ 0.32780414]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25405492]],[[ 0.01047512]],[[ 0.07514878]],[[ 0.00371591]],[[-0.00691907]],[[ 0.15529722]],[[ 0.02394803]],[[ 0.04865338]],[[ 2.50182071]],[[ 0.09549576]],0,[[ 65.37175574]],[[ 0.25373124]],[[-0.01655565]],[[ 0.32485122]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25395577]],[[ 0.01026189]],[[ 0.07770376]],[[ 0.00383314]],[[-0.00719143]],[[ 0.16107399]],[[ 0.02503786]],[[ 0.04994554]],[[ 2.49967361]],[[ 0.09331386]],0,[[ 64.8396326]],[[ 0.25361926]],[[-0.01661652]],[[ 0.32229624]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25388403]],[[ 0.01010751]],[[ 0.07990078]],[[ 0.00389515]],[[-0.00734455]],[[ 0.16445412]],[[ 0.02600685]],[[ 0.05093101]],[[ 2.49832499]],[[ 0.09262709]],0,[[ 64.49317257]],[[ 0.25353535]],[[-0.01670607]],[[ 0.32009922]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25383227]],[[ 0.00999597]],[[ 0.08177671]],[[ 0.00391851]],[[-0.00741403]],[[ 0.16578821]],[[ 0.02686794]],[[ 0.05165473]],[[ 2.49754197]],[[ 0.09294871]],0,[[ 64.30599002]],[[ 0.25347212]],[[-0.01681149]],[[ 0.31822329]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25379505]],[[ 0.00991563]],[[ 0.08336547]],[[ 0.003915]],[[-0.00742513]],[[ 0.16538965]],[[ 0.02763263]],[[ 0.05215535]],[[ 2.49715849]],[[ 0.09393516]],0,[[ 64.25445094]],[[ 0.2534242]],[[-0.01692398]],[[ 0.31663453]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25376841]],[[ 0.00985801]],[[ 0.08469818]],[[ 0.00389297]],[[-0.00739584]],[[ 0.16353779]],[[ 0.02831119]],[[ 0.05246608]],[[ 2.4970561]],[[ 0.09534503]],0,[[ 64.31744589]],[[ 0.25338766]],[[-0.01703758]],[[ 0.31530182]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25374946]],[[ 0.00981691]],[[ 0.08580337]],[[ 0.00385836]],[[-0.00733894]],[[ 0.16048077]],[[ 0.02891278]],[[ 0.05261547]],[[ 2.49715031]],[[ 0.09700973]],0,[[ 64.47617801]],[[ 0.25335962]],[[-0.01714839]],[[ 0.31419663]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25373612]],[[ 0.00978783]],[[ 0.08670708]],[[ 0.00381538]],[[-0.00726348]],[[ 0.1564383]],[[ 0.02944556]],[[ 0.05262811]],[[ 2.49738079]],[[ 0.09881253]],0,[[ 64.71396502]],[[ 0.25333796]],[[-0.01725391]],[[ 0.31329292]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25372684]],[[ 0.00976749]],[[ 0.08743309]],[[ 0.00376701]],[[-0.00717587]],[[ 0.15160416]],[[ 0.02991685]],[[ 0.05252515]],[[ 2.49770454]],[[ 0.10067353]],0,[[ 65.01605431]],[[ 0.25332113]],[[-0.01735269]],[[ 0.31256691]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.2537205]],[[ 0.00975348]],[[ 0.08800298]],[[ 0.00371534]],[[-0.00708065]],[[ 0.14614858]],[[ 0.03033315]],[[ 0.05232482]],[[ 2.4980909]],[[ 0.10253887]],0,[[ 65.36945036]],[[ 0.25330798]],[[-0.01744396]],[[ 0.31199702]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.25125828]],[[ 0.00946155]],[[ 0.09681767]],[[ 0.00765082]],[[-0.00743951]],[[ 0.18854849]],[[ 0.03320375]],[[ 0.0565658]],[[ 2.43406052]],[[ 0.10108119]],0,[[ 61.96072192]],[[ 0.25080568]],[[-0.01779751]],[[ 0.30318233]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24946469]],[[ 0.00924961]],[[ 0.10458703]],[[ 0.01039437]],[[-0.00765927]],[[ 0.22247625]],[[ 0.0357755]],[[ 0.0601281]],[[ 2.38860454]],[[ 0.10140365]],0,60,[[ 0.24897422]],[[-0.01816651]],[[ 0.29541297]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24815862]],[[ 0.00909599]],[[ 0.11140607]],[[ 0.01228599]],[[-0.00778048]],[[ 0.24896812]],[[ 0.03807899]],[[ 0.06309984]],[[ 2.35651564]],[[ 0.10294182]],0,60,[[ 0.24763244]],[[-0.01853674]],[[ 0.28859393]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24720801]],[[ 0.00898486]],[[ 0.11736341]],[[ 0.01356905]],[[-0.00783213]],[[ 0.26896371]],[[ 0.04014165]],[[ 0.06555781]],[[ 2.33404494]],[[ 0.1052794]],0,60,[[ 0.2466483]],[[-0.0188983]],[[ 0.28263659]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24651658]],[[ 0.0089047]],[[ 0.12254148]],[[ 0.01441784]],[[-0.00783494]],[[ 0.28331279]],[[ 0.04198804]],[[ 0.06756896]],[[ 2.31849273]],[[ 0.1081132]],0,60,[[ 0.24592553]],[[-0.01924456]],[[ 0.27745852]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.2460141]],[[ 0.00884709]],[[ 0.12701671]],[[ 0.01495716]],[[-0.00780373]],[[ 0.29278174]],[[ 0.04364022]],[[ 0.06919168]],[[ 2.30791432]],[[ 0.11122545]],0,60,[[ 0.2453939]],[[-0.01957137]],[[ 0.27298329]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24564937]],[[ 0.0088059]],[[ 0.13085985]],[[ 0.01527641]],[[-0.00774904]],[[ 0.29805983]],[[ 0.04511796]],[[ 0.07047694]],[[ 2.30090853]],[[ 0.11446216]],0,60,[[ 0.24500221]],[[-0.01987638]],[[ 0.26914015]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24538505]],[[ 0.00877667]],[[ 0.13413619]],[[ 0.01543961]],[[-0.00767844]],[[ 0.29976514]],[[ 0.04643901]],[[ 0.07146924]],[[ 2.29646562]],[[ 0.11771651]],0,60,[[ 0.24471307]],[[-0.02015856]],[[ 0.26586381]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24519393]],[[ 0.00875614]],[[ 0.13690581]],[[ 0.0154926]],[[-0.00759728]],[[ 0.29845023]],[[ 0.0476193]],[[ 0.07220745]],[[ 2.29385783]],[[ 0.12091629]],0,60,[[ 0.24449918]],[[-0.02041777]],[[ 0.26309419]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24505614]],[[ 0.00874193]],[[ 0.1392239]],[[ 0.01546821]],[[-0.00750938]],[[ 0.29460747]],[[ 0.04867313]],[[ 0.07272554]],[[ 2.29256062]],[[ 0.12401437]],0,60,[[ 0.24434059]],[[-0.02065452]],[[ 0.2607761]]
-0.2451,0.0089,0.1357,0.0513126800086,0.390370397947,[[-0.24495721]],[[ 0.00873231]],[[ 0.14114102]],[[ 0.01538993]],[[-0.00741746]],[[ 0.28867413]],[[ 0.04961335]],[[ 0.07305319]],[[ 2.2921959]],[[ 0.12698164]],0,60,[[ 0.24422273]],[[-0.02086973]],[[ 0.25885898]]
